" "
X координата, мм	Время, с
	-100	-98	-96	-94	-92	-90	-88	-86	-84	-82	-80	-78	-76	-74	-72	-70	-68	-66	-64	-62	-60	-58	-56	-54	-52	-50	-48	-46	-44	-42	-40	-38	-36	-34	-32	-30	-28	-26	-24	-22	-20	-18	-16	-14	-12	-10	-8	-6	-4	-2	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150	152	154	156	158	160	162	164	166	168	170	172	174	176	178	180	182	184	186	188	190	192	194	196	198	200	202	204	206	208	210	212	214	216	218	220	222	224	226	228	230	232	234	236	238	240	242	244	246	248	250	252	254	256	258	260	262	264	266	268	270	272	274	276	278	280	282	284	286	288	290	292	294	296	298	300	302	304	306	308	310	312	314	316	318	320	322	324	326	328	330	332	334	336	338	340	342	344	346	348	350	352	354	356	358	360	362	364	366	368	370	372	374	376	378	380	382	384	386	388	390	392	394	396	398	400	402	404	406	408	410	412	414	416	418	420	422	424	426	428	430	432	434	436	438	440	442	444	446	448	450	452	454	456	458	460	462	464	466	468	470	472	474	476	478	480	482	484	486	488	490	492	494	496	498
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547.665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000.01	0	0	0	0	0	0	0	156.708	0	0	0	0	0	0	0	0	451.072	490.495	0	0	0	123.786	0	0	0	205.19	0	0	0	0	369.338	784.859	112.344	104.989	1000.01	204.796	0	502.795	314.449	209.455	809.028	387.095	0	688.121	642.674	426.919	0	713.981	433.626	831.953	0	538.394	632.287	473.299	0	864.622	267.216	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.9617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315.426	0	0	0	0	0	831.953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517.089	0	0	0	0	0	0	152.555	0	256.1	281.426	289.683	583.054	252.692	573.404	0	327.169	890.369	782.764	225.627	687.993	0	366.089	288.822	736.157	0	185.274	374.676	678.294	0	767.628	282.845	831.953	0	237.402	131.299	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244.416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429.644	0	0	0	0	0	0	0	0	470.484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688.624	0	0	0	0	0	0	0	0	0	0	1000.01	1000.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668.997	0	0	1000.01	0	709.509	0	482.433	1000.01	0	0	129.573	0	905.089	0	0	196.084	0	0	749.496	0	0	362.078	355.415	1000.01	971.004	0	146.476	0	492.321	0	855.597	370.661	1000.01	0	1000.01	329.342	743.236	755.646	0	1000.01	673.545	204.556	1000.01	728.74	374.627	0	180.684	121.338	376.904	682.795	709.729	0	1000.01	328.988	532.982	0	341.668	341.22	971.191	0	588.585	0	392.88	0	224.021	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541.937	0	329.322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.16	0	0	0	103.331	0	0	0	0	974.453	0	1000.01	1000.01	448.922	0	0	0	0	0	306.622	0	0	0	0	0	0	335.109	755.646	420.259	0	666.21	0	0	0	0	337.722	0	0	284.906	0	578.864	487.192	886.209	0	752.913	254.811	68.9543	559.115	455.905	0	0	898.545	701.602	165.336	804.519	1000.01	0	453.616	0	0	0	936.763	445.146	272.318	0	668.979	501.792	245.78	0	0	419.28	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280.992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000.01	0	0	0	0	0	786.764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000.01	0	0	0	0	0	0	336.664	961.338	0	0	0	0	0	0	0	259.777	0	1000.01	0	554.573	0	940.363	0	846.331	0	0	0	970.118	936.763	0	177.258	0	110.573	600.618	0	0	312.762	172.585	493.607	0	0	239.859	115.056	379.658	91.0251	299.155	0	451.397	112.777	0	0	0	0	0	929.448	0	217.866	115.094	0	1000.01	400.293	1000.01	460.314	846.331	0	0	0	338.213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368.622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000.01	0	576.003	0	0	0	0	0	0	388.639	0	0	0	0	0	0	0	188.783	0	941.02	0	0	811.806	0	597.863	265.799	0	0	133.076	1000.01	0	0	0	0	1000.01	0	269.95	1000.01	694.417	370.207	0	484.422	1000.01	1000.01	0	0	631.661	0	0	940.363	1000.01	1000.01	804.217	486.85	728.802	1000.01	0	554.001	677.727	669.402	0	0	0	1000.01	0	331.982	0	0	225.357	881.997	806.581	1000.01	1000.01	1000.01	0	1000.01	388.41	344.215	127.129	73.8542	0	384.831	176.62	0	0	0	128.161	0	0	0	0	510.296	0	151.321	391.461	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801.277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277.64	274.293	0	0	0	0	0	0	0	0	0	616.278	0	0	169.378	0	0	0	0	0	0	0	0	254.745	0	306.592	0	422.105	0	850.995	877.083	1000.01	1000.01	145.544	0	382.99	1000.01	850.995	0	1000.01	1000.01	0	537.487	1000.01	0	76.1926	457.274	356.54	258.901	617.574	97.573	316.389	881.997	485.183	0	560.299	0	0	711.678	256.558	459.797	457.196	602.865	366.685	395.255	784.9	544.698	614.372	0	795.275	519.642	375.815	1000.01	651.744	935.268	0	633.436	298.401	501.786	446.679	485.713	0	517.866	0	0	0	0	0	0	0	223.655	0	158.635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.841	0	0	0	0	0	0	600.497	0	0	0	0	0	0	0	0	0	0	0	205.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.2259	0	0	0	0	0	0	0	0	716.403	0	0	0	0	0	0	0	271.878	241.742	1000.01	52.2151	0	0	327.062	0	0	225.381	0	0	214.281	1000.01	595.657	336.419	0	1000.01	66.5688	465.246	0	254.457	0	545.974	71.6958	180.561	0	921.976	394.194	241.412	115.67	255.665	898.545	0	0	767.628	0	1000.01	622.598	790.418	0	450.535	393.359	695.939	1000.01	447.946	441.432	811.806	255.798	0	355.695	0	1000.01	703.103	0	197.137	364.059	1000.01	0	1000.01	507.15	679.84	0	0	0	0	0	0	0	0	900.4	0	0	316.333	0	0	0	0	1000.01	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215.929	0	0	0	0	0	0	0	1000.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921.976	0	904.808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217.469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.958	0	877.734	688.624	0	0	0	0	162.313	707.368	0	1000.01	471.359	0	255.603	96.7327	0	98.3151	230.634	0	346.417	108.344	382.123	0	320.885	0	0	879.824	0	0	305.616	1000.01	1000.01	231.886	864.622	0	990.32	557.854	544.673	942.336	67.0099	166.529	219.172	219.165	846.331	668.909	0	1000.01	592.899	470.553	0	66.7672	0	0	906.532	221.996	0	92.9594	475.614	0	0	0	0	0	181.111	539.931	626.492	0	0	0	440.355	0	0	154.831	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665.708	54.0627	0	0	0	0	0	101.502	0	0	0	0	0	0	782.987	0	0	0	0	0	654.088	204.229	0	0	0	369.972	0	0	0	0	1000.01	0	391.184	0	112.113	0	1000.01	906.532	204.657	98.7453	117.706	816.953	332.674	521.275	306.544	574.954	0	580.602	0	435.851	442.433	580.036	118.046	0	310.207	82.6186	177.264	302.452	1000.01	416.174	755.646	380.753	216.591	219.821	0	122.808	279.524	0	0	184.888	550.646	180.13	919.228	648.029	0	0	0	0	0	0	84.5097	0	0	0	333.679	0	0	0	0	0	478.193	850.995	0	0	0	0	0	0	0	488.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
